,city,loc_key,snapshot_dt,cal_day,cal_month,forecast_high,forecast_low,last_year_high,last_year_low,hist_avg_high,hist_avg_low,forecast_hist_diff_h,forecast_last_year_diff_h,last_year_hist_diff_h,forecast_hist_diff_l,forecast_last_year_diff_l,last_year_hist_diff_l,cal_date,n
0,jeddah,299429,2020-11-04 01:17:39.829,4,11,34,26,34,25,34,22,0,0,0,4,1,3,2020-11-04 00:00:00.000,0
1,jeddah,299429,2020-11-04 01:17:39.829,5,11,34,25,35,25,34,22,0,-1,1,3,0,3,2020-11-05 00:00:00.000,1
2,jeddah,299429,2020-11-04 01:17:39.829,6,11,33,26,33,25,34,22,-1,0,-1,4,1,3,2020-11-06 00:00:00.000,2
3,jeddah,299429,2020-11-04 01:17:39.829,7,11,33,26,34,26,34,22,-1,-1,0,4,0,4,2020-11-07 00:00:00.000,3
4,jeddah,299429,2020-11-04 01:17:39.829,8,11,33,26,35,26,34,22,-1,-2,1,4,0,4,2020-11-08 00:00:00.000,4
5,jeddah,299429,2020-11-04 01:17:39.829,9,11,34,27,34,26,33,22,1,0,1,5,1,4,2020-11-09 00:00:00.000,5
6,jeddah,299429,2020-11-04 01:17:39.829,10,11,35,28,35,26,33,22,2,0,2,6,2,4,2020-11-10 00:00:00.000,6
7,jeddah,299429,2020-11-04 01:17:39.829,11,11,36,27,35,26,33,22,3,1,2,5,1,4,2020-11-11 00:00:00.000,7
8,jeddah,299429,2020-11-04 01:17:39.829,12,11,36,28,34,26,33,22,3,2,1,6,2,4,2020-11-12 00:00:00.000,8
9,jeddah,299429,2020-11-04 01:17:39.829,13,11,36,28,34,26,33,22,3,2,1,6,2,4,2020-11-13 00:00:00.000,9
10,jeddah,299429,2020-11-04 01:17:39.829,14,11,35,27,33,26,33,22,2,2,0,5,1,4,2020-11-14 00:00:00.000,10
11,jeddah,299429,2020-11-04 01:17:39.829,15,11,34,27,33,26,33,22,1,1,0,5,1,4,2020-11-15 00:00:00.000,11
12,jeddah,299429,2020-11-04 01:17:39.829,16,11,35,27,32,25,33,22,2,3,-1,5,2,3,2020-11-16 00:00:00.000,12
13,jeddah,299429,2020-11-04 01:17:39.829,17,11,31,23,32,25,33,22,-2,-1,-1,1,-2,3,2020-11-17 00:00:00.000,13
